n,positive_rate,accuracy,balanced_accuracy,mcc,log_loss,brier,auc,average_precision,feature_block,model,split,top_bottom_spread,after_cost_spread,top_mean_return,bottom_mean_return,top_hit_rate,top_n,bottom_n,auc_lower_95,auc_upper_95,target
276,0.5543478260869565,0.6376811594202898,0.6325522078750199,0.2655563547763212,0.7332409281520622,0.25258854409772935,0.6213401349699772,0.6425672670291174,all_features,logistic,walk_forward_aggregate,0.029400116346793854,0.027400116346793853,0.015259344345145141,-0.014140772001648714,0.6363636363636364,55,55,0.562827369283896,0.6748879621541183,market_subtracted
276,0.5543478260869565,0.5543478260869565,0.5581858759764069,0.11587713251849678,0.685475052079866,0.24526364029878983,0.6083745151177001,0.6236955789396585,all_features,xgboost,walk_forward_aggregate,0.024883473449666994,0.022883473449666993,0.006393735208111837,-0.018489738241555156,0.6181818181818182,55,55,0.5480109313978668,0.6611085279885637,market_subtracted
276,0.5543478260869565,0.532608695652174,0.5218396301610075,0.044342804788503165,0.7165491211390768,0.25864746158555346,0.5333439608905893,0.5982331107211836,financial_dictionary,logistic,walk_forward_aggregate,0.03461828932186434,0.032618289321864335,0.024049821274653927,-0.010568468047210408,0.6545454545454545,55,55,0.46541207747795016,0.6051272535776452,market_subtracted
276,0.5543478260869565,0.5434782608695652,0.5396142196716085,0.07901042131624238,0.6996969324370534,0.2525476174502683,0.5527392528827249,0.5824697321395746,financial_dictionary,xgboost,walk_forward_aggregate,0.02296170425384532,0.020961704253845317,0.013432593691807798,-0.009529110562037521,0.6,55,55,0.49259279732951833,0.6140214105364459,market_subtracted
276,0.5543478260869565,0.5615942028985508,0.5511716881874701,0.10389810465043442,0.684005309276912,0.24560329793591898,0.5832403422073438,0.6354306075912366,historical_surprise,logistic,walk_forward_aggregate,0.03229612727416242,0.03029612727416242,0.01983865117476821,-0.012457476099394217,0.6727272727272727,55,55,0.5166098398329564,0.6434524829656404,market_subtracted
276,0.5543478260869565,0.5797101449275363,0.5778734257930815,0.15502362869581046,0.6761152135576747,0.24126367933721257,0.6219246506190552,0.645290621950136,historical_surprise,xgboost,walk_forward_aggregate,0.0311251013366362,0.0291251013366362,0.018454043887774493,-0.012671057448861708,0.6545454545454545,55,55,0.5595289784917175,0.6852397926649901,market_subtracted
276,0.5543478260869565,0.5253623188405797,0.5248684839789575,0.04944747340868427,0.6979302059841779,0.25197129791831807,0.5431213135660768,0.5729160463006533,market_only,logistic,walk_forward_aggregate,0.0021976491150235136,0.00019764911502351355,-0.001279892695701362,-0.0034775418107248755,0.5454545454545454,55,55,0.4788039828524141,0.6055449393492871,market_subtracted
276,0.5543478260869565,0.4891304347826087,0.49537701259365535,-0.009253599548810595,0.7241751604272361,0.26431049288378305,0.5137626866464743,0.5466101704152028,market_only,xgboost,walk_forward_aggregate,0.00010335524242850768,-0.0018966447575714924,0.0032867278323557496,0.003183372589927242,0.5272727272727272,55,55,0.4411840665203341,0.5722895076538199,market_subtracted
276,0.5543478260869565,0.5869565217391305,0.5772357723577235,0.15658252754609014,0.7282754984099332,0.2539508896571027,0.6051331101546309,0.6400346836479114,sentence_sentiment,logistic,walk_forward_aggregate,0.0407859368168077,0.0387859368168077,0.026715055655186726,-0.014070881161620977,0.6909090909090909,55,55,0.5441837088178074,0.6597981040995747,market_subtracted
276,0.5543478260869565,0.6014492753623188,0.6038578032839153,0.20653371585609054,0.6764904377643897,0.24129842167867305,0.6152292895477974,0.6316925883503177,sentence_sentiment,xgboost,walk_forward_aggregate,0.03333901866233466,0.031339018662334656,0.02102209729069024,-0.012316921371644416,0.6727272727272727,55,55,0.5565555095277548,0.6699586419185312,market_subtracted
