symbol,company_name,year,quarter,call_datetime,pres_pos,pres_neg,pres_neu,qa_pos,qa_neg,qa_neu,sentiment_mismatch_pos,sentiment_mismatch_neg,evasion_index,abnormal_return_5d
CAT,Caterpillar Inc.,2020,2,2020-07-31 08:30:00,0.17804419,0.6949022,0.12705363,0.18189298,0.27689034,0.5412166,-0.0038487911,0.41801184,0.09636047,-0.045601527419122136
CAT,Caterpillar Inc.,2020,1,2020-04-28 08:30:00,0.33250222,0.47342053,0.19407724,0.23556046,0.2459252,0.5185142,0.096941754,0.22749533,0.17240712,-0.051112513953620806
CAT,Caterpillar Inc.,2021,4,2022-01-28 08:30:00,0.650675,0.23150675,0.117818214,0.26389387,0.13092199,0.60518414,0.38678113,0.10058476,0.39377818,-0.10507555606871594
CAT,Caterpillar Inc.,2021,3,2021-10-28 08:30:00,0.7673488,0.11050547,0.12214562,0.35068077,0.06863968,0.5806796,0.41666806,0.04186579,0.44558382,0.009830841297018545
CAT,Caterpillar Inc.,2021,2,2021-07-30 09:30:00,0.8448723,0.044663783,0.110463984,0.5457189,0.047162037,0.40711904,0.2991534,-0.0024982542,0.3439636,-0.023736838330181153
CAT,Caterpillar Inc.,2021,1,2021-04-29 08:30:00,0.8015646,0.07266133,0.12577409,0.33950666,0.087323114,0.57317024,0.46205792,-0.0146617815,0.45943296,0.016125709534614886
CAT,Caterpillar Inc.,2022,4,2023-01-31 08:30:00,0.7444512,0.14171092,0.11383789,0.47023425,0.15613471,0.37363106,0.27421698,-0.014423788,0.2781501,-0.08167303040207888
CAT,Caterpillar Inc.,2022,3,2022-10-27 08:30:00,0.8239433,0.050765704,0.125291,0.3616771,0.076084934,0.562238,0.4622662,-0.02531923,0.46325222,0.14212225295665137
CAT,Caterpillar Inc.,2022,2,2022-08-02 08:30:00,0.46695268,0.40970305,0.12334428,0.3770003,0.1361031,0.4868966,0.08995238,0.27359995,0.22735767,-0.04624696722731861
CAT,Caterpillar Inc.,2022,1,2022-04-28 08:30:00,0.63956374,0.2555383,0.10489794,0.46629962,0.06441396,0.46928647,0.17326412,0.19112435,0.30013862,0.01807184842989982
CAT,Caterpillar Inc.,2023,4,2024-02-05 08:30:00,0.58230317,0.28702918,0.13066766,0.36789125,0.10643885,0.52566993,0.21441191,0.18059033,0.30609927,0.008004434061133265
CAT,Caterpillar Inc.,2023,3,2023-10-31 08:30:00,0.64280814,0.23579423,0.12139768,0.27526432,0.2569236,0.46781206,0.36754382,-0.021129355,0.3007134,-0.08067037470570992
CAT,Caterpillar Inc.,2023,2,2023-08-01 08:30:00,0.6279448,0.17183366,0.20022148,0.45560697,0.17509149,0.36930147,0.17233786,-0.003257826,0.23190095,0.08634590079629112
CAT,Caterpillar Inc.,2023,1,2023-04-27 12:00:00,0.74958247,0.13618746,0.114230104,0.18804072,0.1366671,0.67529225,0.56154174,-0.00047963858,0.50618726,-0.028163947589962827
CAT,Caterpillar Inc.,2024,4,2025-01-30 08:30:00,0.20654777,0.63964725,0.15380499,0.22669321,0.21838361,0.5549232,-0.020145446,0.42126364,0.114618145,-0.07797414421289074
CAT,Caterpillar Inc.,2024,3,2024-10-30 08:30:00,0.414559,0.45519456,0.13024649,0.3304887,0.08205305,0.58745825,0.084070295,0.37314153,0.24353611,0.05931263114588157
CAT,Caterpillar Inc.,2024,2,2024-08-06 08:30:00,0.31271887,0.5140241,0.17325704,0.24129401,0.07691984,0.6817861,0.07142486,0.43710423,0.21320738,0.021607113156647054
CAT,Caterpillar Inc.,2024,1,2024-04-25 08:30:00,0.4568504,0.38297784,0.16017173,0.31976599,0.05161851,0.6286155,0.13708442,0.33135933,0.28718325,-0.07577967004341564
CAT,Caterpillar Inc.,2025,1,2025-04-30 08:30:00,0.3664211,0.4630287,0.17055018,0.2715441,0.053691067,0.6747649,0.094877005,0.40933764,0.24724808,0.029263571570466676
CHRW,"C.H. Robinson Worldwide, Inc.",2021,3,2021-10-26 17:00:00,0.25954503,0.013293498,0.72716147,0.2944961,0.035394922,0.6701091,-0.03495106,-0.022101425,0.17392348,-0.059660426131800004
